[◁◁◁◁◁◁◁◁](./index.html)

|||Player|SS|
|:-|:-|:-|
|384|dresch2|98.53%|72600|6931|20|245|978
|385|Skylone|97.22%|86660|6930|34|394|960
|386|- Kaoori -|97.67%|90555|6926|29|984|1184
|387|sxe Lost|99.26%|58554|6920|156|812|494
|388|Gohan711|99.26%|59510|6918|74|1123|1342
|389|bobaudo|96.75%|46036|6915|66|271|394
|390|styIe|97.07%|56699|6915|2|112|202
|391|Crymore13|99.11%|55110|6913|165|2541|2717
|392|dated safadeza|98.68%|32578|6911|23|265|564
|393|T-Light|99.03%|59427|6910|115|434|267
|394|Jdmorrison1|98.07%|26883|6910|29|297|560
|395|Edu zatekenm|99.21%|92078|6908|54|501|719
|396|tutolag|98.68%|70150|6906|96|439|752
|397|Nonolism|98.10%|89832|6904|20|643|2052
|398|Boomchilinha|99.13%|51070|6903|27|479|104
|399|HayTuna|98.97%|71599|6903|5|351|1265
|400|yumiihsz|97.91%|22911|6900|33|269|262
|401|UoooU|99.28%|56806|6900|66|429|1007
|402|Yuki Elison|99.31%|106633|6899|208|1827|1696
|403|Leector|98.27%|62812|6897|37|708|843
|404|guga1000|97.54%|35038|6896|7|306|582
|405|shellyts|99.26%|59230|6892|46|558|1051
|406|S M I T H|98.84%|51288|6886|8|309|761
|407|MaathKuun|99.01%|63433|6878|21|682|844
|408|DearRemilia|95.81%|65114|6877|21|492|686
|409|-Nozomi Tojo|99.38%|149820|6876|130|883|1280
|410|JoaoLassance|98.69%|34148|6875|66|350|465
|411|MrTrolll|98.17%|43075|6873|40|724|764
|412|ijnek4|99.06%|92504|6869|45|706|1064
|413|Soziriss|98.82%|29890|6863|13|250|540
|414|Miyo Shizue|97.89%|51773|6863|76|633|1207
|415|Alisson|98.59%|95503|6861|12|975|828
|416|D_Pedroso|98.55%|44783|6860|27|597|894
|417|Funeral Fantasy|97.67%|25903|6859|54|332|317
|418|GremorySKILLS|97.76%|69225|6859|7|284|632
|419|cariucho|99.17%|35439|6858|35|394|593
|420|Yamakado|97.32%|52153|6857|13|206|353
|421|Taragotto|99.14%|79815|6849|114|1370|1690
|422|reekted|98.49%|36095|6847|14|425|646
|423|vls1337|98.44%|73392|6846|24|362|680
|424|GabrielSmK|96.32%|61952|6843|24|367|351
|425|finalbang4|98.34%|117178|6843|14|658|1537
|426|RaxTV|98.48%|146998|6841|139|1862|1976
|427|Miweum|98.95%|56950|6830|11|342|547
|428|Omersivi|98.80%|68021|6827|129|781|436
|429|Last Light|98.27%|48038|6825|33|235|790
|430|-Clown-|98.37%|35472|6823|17|445|715
|431|Miintysz|97.36%|33534|6818|23|672|928
|432|Cuckiezi|98.96%|108786|6812|75|939|964
|433|Harune|99.22%|29830|6809|90|598|1007
|434|RelliK|98.86%|43343|6804|24|244|776
|435|Suspecthy|98.32%|35545|6804|15|334|451
|436|vimy17|98.50%|36415|6801|51|420|728
|437|Zakken|98.57%|51851|6800|18|327|342
|438|im sleepey|97.69%|37435|6800|15|298|475
|439|oppressir|98.12%|27983|6796|122|1801|1936
|440|Okonar|98.72%|91118|6794|234|1744|2526
|441|Kwalice|98.38%|49280|6790|12|265|390
|442|Skull Kid|99.63%|48981|6782|137|720|816
|443|Nyukey|99.19%|64299|6780|98|776|1272
|444|zSaiph|98.32%|64832|6777|53|542|471
|445|Billmax|98.08%|98285|6777|114|782|969
|446|Takurusuma|99.34%|92287|6773|95|1648|1128
|447|bagaralho|98.95%|61396|6773|12|288|1472
|448|-Angra Mainyu-|97.83%|73930|6770|22|633|704
|449|Brenner|98.77%|56514|6762|88|546|678
|450|zsunmi|98.75%|37690|6756|7|507|260
|451|guuh1901|98.33%|113407|6754|87|591|1054
|452|- hiro -|97.91%|74991|6752|65|325|705
|453|guimelou255|98.83%|55570|6751|957|4913|1193
|454|ferreira on osu|98.40%|57402|6747|74|420|356
|455|DxSzik|91.45%|32989|6745|39|224|304
|456|Mut4nte|98.65%|72862|6744|22|411|599
|457|OcraM8|98.51%|52318|6743|29|721|430
|458|Aulow|97.96%|62492|6740|13|369|995
|459|TeteuViber|98.09%|59979|6733|48|635|523
|460|Rocket Sheep|97.96%|26332|6733|66|731|659
|461|Fred727|97.67%|113325|6733|91|719|910
|462|Lieafzera|98.11%|57957|6731|12|644|817
|463|cai0|99.34%|64219|6730|271|992|892
|464|Sanapri|99.25%|52113|6729|956|1411|574
|465|jujudima|97.77%|39051|6726|33|349|809
|466|Wolffzinho|94.23%|34708|6724|1|200|380
|467|blackdder|98.66%|68995|6717|90|592|1323
|468|FatalMusic|99.12%|82864|6715|211|2109|2646
|469|Azumi|98.65%|67667|6701|94|465|584
|470|HenriqueTheGod|98.84%|50064|6699|81|785|436
|471|Manu|98.77%|34257|6699|236|1393|1611
|472|Japa268|98.00%|68484|6697|18|487|1287
|473|Bheader|99.11%|19591|6695|13|175|277
|474|Angelsinho|98.99%|85923|6690|58|615|1356
|475|Jow|99.18%|46212|6688|107|543|1298
|476|Chuva|98.25%|63402|6684|13|371|742
|477|Haniemi|98.25%|74142|6683|14|820|1165
|478|Lesh|98.90%|66143|6681|53|640|748
|479|strike_elite|98.07%|51249|6680|8|292|380
|480|jfelipez|98.71%|121205|6680|19|320|439
|481|RvKn|98.36%|31356|6680|39|585|664
|482|mniao|97.99%|41257|6657|20|152|161
|483|Gmoffas|98.93%|30180|6657|15|518|605
|484|yolooowat|99.06%|35066|6654|71|506|348
|485|Bartneck|98.35%|45290|6650|8|406|1362
|486|JHiroshiK|97.10%|49874|6649|3|154|350
|487|Strxqqz|98.51%|46382|6647|38|428|483
|488|RatoFacilJik|98.12%|42033|6647|43|336|587
|489|LookPvP|96.79%|70917|6644|31|465|794
|490|Dantes Dem0n|99.11%|36081|6642|57|488|969
|491|AndreiSch|98.37%|50475|6640|119|905|1040
|492|OtakinhoDJ|99.03%|57054|6639|31|462|625
|493|MatheusHsD|99.43%|90977|6638|395|2395|2608
|494|Aino-Seiji|98.92%|67012|6633|75|627|1082
|495|Clohd|97.30%|63848|6633|65|463|421
|496|Rfortes|98.69%|54645|6633|37|630|924
|497|Snoo0w|96.51%|115998|6631|25|597|802
|498|xLeoSOULx|99.00%|98375|6629|52|719|803
|499|kindokunz|98.47%|29742|6625|15|310|1256
|500|AlexTroIIPsy|98.34%|83785|6624|164|1282|958
|501|ILoveYooU s2|98.81%|61960|6621|5|531|832
|502|ySuyy|98.20%|31881|6618|3|137|416
|503|Droke|99.17%|66205|6617|61|371|422
|504|Kirishima-|97.57%|57817|6614|5|569|700
|505|- Ex -|99.43%|116661|6613|178|657|1800
|506|catos_|99.07%|57206|6607|39|616|788
|507|Bikko is legit|99.43%|98853|6607|175|689|667
|508|- Aikawa -|99.45%|31599|6606|78|880|1892
|509|YuToMaFoo|97.65%|34898|6606|10|356|374
|510|Serial Dreemurr|99.20%|60742|6605|184|1597|911
|511|Dunha|96.15%|38834|6605|15|372|357
